date,description,amount
2025-08-04,LANDLORD PAYMENT - RENT,-1500
2025-08-04,PROPERTY MANAGEMENT FEE,-75
2025-08-04,STARBUCKS #338,-4.78
2025-08-04,CHIPOTLE MEXICAN #836,-13.61
2025-08-04,SHELL GAS STATION,-41.61
2025-08-04,UBER RIDE,-14.94
2025-08-04,GIG INCOME - CONTRACT WORK,588.62
2025-08-05,STARBUCKS #743,-5.38
2025-08-05,STARBUCKS #646,-6.4
2025-08-05,SHELL GAS STATION,-36.35
2025-08-05,AMAZON MARKETPLACE,-95.81
2025-08-05,MCDONALD RESTAURANT,-40.73
2025-08-05,GIG INCOME - CONTRACT WORK,337.49
2025-08-06,STARBUCKS #967,-4.79
2025-08-06,CHIPOTLE MEXICAN #911,-13.14
2025-08-06,CHIPOTLE MEXICAN #564,-12.17
2025-08-06,CHEVRON FUEL,-48.62
2025-08-06,TARGET STORE,-49.16
2025-08-07,STARBUCKS #858,-4.81
2025-08-07,PANERA BREAD #652,-12.81
2025-08-07,ROSS STORE,-77.47
2025-08-08,NETFLIX SUBSCRIPTION,-15.99
2025-08-08,SPOTIFY PREMIUM,-9.99
2025-08-08,STARBUCKS #786,-5.57
2025-08-08,DUNKIN DONUTS #755,-4.45
2025-08-09,STARBUCKS #928,-8.77
2025-08-09,STARBUCKS #204,-9.51
2025-08-09,STARBUCKS #777,-6.59
2025-08-09,CHIPOTLE MEXICAN #621,-20.98
2025-08-09,TRADER JOES,-38.55
2025-08-10,GYM MEMBERSHIP,-49.99
2025-08-10,STARBUCKS #181,-7.52
2025-08-10,CHIPOTLE MEXICAN #111,-17.87
2025-08-10,TRADER JOES,-51.9
2025-08-10,TARGET STORE,-50.98
2025-08-11,DISNEY+ STREAMING,-7.99
2025-08-11,STARBUCKS #473,-6.41
2025-08-11,STARBUCKS #763,-7.31
2025-08-11,DUNKIN DONUTS #680,-4.03
2025-08-11,CHIPOTLE MEXICAN #282,-12.5
2025-08-11,TARGET STORE,-39.99
2025-08-12,IKEA FURNITURE,-251.6
2025-08-13,HULU SUBSCRIPTION,-14.99
2025-08-13,TARGET STORE,-76.7
2025-08-14,STARBUCKS #144,-5.29
2025-08-15,AMAZON PRIME MEMBERSHIP,-14.99
2025-08-15,UNKNOWN APP PURCHASE,-2.99
2025-08-15,CHIPOTLE MEXICAN #641,-14.98
2025-08-16,CHIPOTLE MEXICAN #470,-18.08
2025-08-16,CHEVRON FUEL,-49.34
2025-08-17,DUNKIN DONUTS #352,-5.83
2025-08-17,TARGET STORE,-70.44
2025-08-17,CVS PHARMACY,-40.42
2025-08-18,ELECTRIC COMPANY - MONTHLY,-110.24
2025-08-18,GAS UTILITY BILL,-84.0
2025-08-18,STARBUCKS #303,-4.58
2025-08-18,DUNKIN DONUTS #758,-5.71
2025-08-18,CHIPOTLE MEXICAN #981,-13.78
2025-08-18,SHELL GAS STATION,-40.57
2025-08-18,SHELL GAS STATION,-45.78
2025-08-19,PANERA BREAD #775,-9.63
2025-08-19,WHOLE FOODS MARKET,-90.49
2025-08-19,TRADER JOES,-41.05
2025-08-19,CVS PHARMACY,-13.67
2025-08-20,PANERA BREAD #214,-11.44
2025-08-20,TRADER JOES,-46.51
2025-08-20,SHELL GAS STATION,-39.86
2025-08-20,UBER EATS,-47.06
2025-08-21,INTERNET SERVICE PROVIDER,-79.99
2025-08-21,STARBUCKS #691,-7.09
2025-08-22,TRADER JOES,-56.91
2025-08-22,BEST BUY ELECTRONICS,-153.44
2025-08-23,WATER & SEWER UTILITY,-49.5
2025-08-23,APP STORE CHARGE,-4.99
2025-08-23,DUNKIN DONUTS #432,-5.67
2025-08-23,CHIPOTLE MEXICAN #494,-18.17
2025-08-23,CHIPOTLE MEXICAN #649,-14.8
2025-08-23,SUBWAY SANDWICH,-33.7
2025-08-24,STARBUCKS #529,-9.25
2025-08-24,STARBUCKS #259,-7.73
2025-08-24,STARBUCKS #487,-8.55
2025-08-24,PANERA BREAD #878,-18.31
2025-08-24,WHOLE FOODS MARKET,-74.92
2025-08-24,SHELL GAS STATION,-52.65
2025-08-24,CHEVRON FUEL,-53.47
2025-08-24,INSTACART,-45.37
2025-08-25,DUNKIN DONUTS #864,-4.85
2025-08-25,CHIPOTLE MEXICAN #448,-13.84
2025-08-25,WHOLE FOODS MARKET,-96.74
2025-08-26,PARKING METER,-33.02
2025-08-27,PANERA BREAD #346,-10.2
2025-08-27,CHEVRON FUEL,-43.81
2025-08-28,MYSTERY SUBSCRIPTION,-1.99
2025-08-28,DUNKIN DONUTS #510,-5.51
2025-08-28,PANERA BREAD #303,-11.54
2025-08-29,STARBUCKS #263,-6.78
2025-08-29,STARBUCKS #489,-7.1
2025-08-29,DUNKIN DONUTS #334,-5.44
2025-08-29,MARSHALLS,-60.23
2025-08-30,STARBUCKS #532,-6.67
2025-08-30,DUNKIN DONUTS #771,-6.0
2025-08-30,PANERA BREAD #187,-19.23
2025-08-30,DOMINOS PIZZA,-15.74
2025-08-31,DIGITAL SERVICE FEE,-3.49
2025-08-31,PANERA BREAD #405,-18.69
2025-08-31,PANERA BREAD #951,-18.75
2025-08-31,OPTOMETRIST CLINIC,-269.74
2025-09-01,PANERA BREAD #100,-13.61
2025-09-01,WHOLE FOODS MARKET,-57.38
2025-09-01,WHOLE FOODS MARKET,-114.67
2025-09-03,LANDLORD PAYMENT - RENT,-1500
2025-09-03,PROPERTY MANAGEMENT FEE,-75
2025-09-03,DUNKIN DONUTS #915,-4.41
2025-09-03,DUNKIN DONUTS #440,-5.34
2025-09-03,PANERA BREAD #453,-11.98
2025-09-03,PANERA BREAD #651,-13.63
2025-09-03,CVS PHARMACY,-36.78
2025-09-04,STARBUCKS #371,-5.14
2025-09-04,STARBUCKS #949,-6.4
2025-09-04,BOWLING ALLEY,-32.83
2025-09-04,BOWLING ALLEY,-56.15
2025-09-06,STARBUCKS #170,-7.77
2025-09-06,STARBUCKS #209,-6.78
2025-09-06,STARBUCKS #265,-10.42
2025-09-07,NETFLIX SUBSCRIPTION,-15.99
2025-09-07,SPOTIFY PREMIUM,-9.99
2025-09-07,PANERA BREAD #371,-19.34
2025-09-07,CONCERT VENUE TICKETS,-146.89
2025-09-08,DUNKIN DONUTS #205,-4.12
2025-09-08,CHIPOTLE MEXICAN #571,-14.08
